,總指數,一.食物類,二.衣著類,三.居住類,四.交通及通訊類,五.醫藥保健類,六.教養娛樂類,七.雜項類
2022-M2,101.6,102.9,98.75,100.76,103.16,100.48,101.5,100.83
2022-M3,101.92,103.37,98.31,101.07,104.39,100.91,100.52,101.36
2022-M4,102.7,104.43,105.89,101.3,104.16,100.92,101.04,101.54
2022-M5,102.96,105.92,105.02,101.57,103.84,100.97,100.6,101.32
2022-M6,103.35,106.85,103.14,102.98,103.52,101.17,100.62,101.17
2022-M7,103.32,106.8,101.65,103.25,103.8,101.4,100.75,100.72
2022-M8,103.24,106.5,100.12,103.48,103.56,101.47,100.6,101.12
2022-M9,103.49,107.23,99.42,103.63,103.01,101.58,101.24,101.54
2022-M10,103.77,107.42,107.05,102.64,103.12,101.84,101.86,101.35
2022-M11,103.62,106.84,105.54,102.76,103.11,101.61,102.18,101.42
2022-M12,103.78,107.27,103.55,102.88,103.14,101.93,102.78,101.69
2023-M1,104.71,107.81,101.11,103.23,103.87,101.98,105.02,105.05
2023-M2,104.06,107.34,99.96,103.22,103.73,102.38,103.6,102.88
2023-M3,104.32,108.41,99.53,103.38,103.56,102.46,103.32,103.03
2023-M4,105.11,108.82,105.16,103.66,104.14,102.77,104.36,103.72
2023-M5,105.04,109.07,104.29,103.74,103.73,102.93,103.63,104.05
2023-M6,105.16,108.33,103.08,105.03,103.86,102.93,104.12,103.95
2023-M7,105.26,108.17,102.78,105.18,104.34,103.88,104.43,103.69
2023-M8,105.85,110.17,101.16,105.32,105.37,103.83,104.32,103.67
2023-M9,106.52,112.36,100.55,105.51,105.36,104.29,104.19,104.3
2023-M10,106.92,113.34,108.8,104.54,104.8,104.44,104.99,103.66
2023-M11,106.62,112.87,106.56,104.66,104.28,104.66,104.7,103.78
2023-M12,106.58,112.33,105.79,104.75,104.08,104.73,105.23,104.32
2024-M1,106.59,112.24,103.59,105.03,104.43,105.13,104.96,104.75
2024-M2,107.26,112.16,101.77,105.29,104.89,105.66,107.47,107.18
2024-M3,106.56,111.51,101.11,105.38,104.9,105.73,105.28,105.4
2024-M4,107.15,111.63,104.88,105.82,104.86,106.39,106.0,106.33
2024-M5,107.38,112.78,104.06,106.14,104.67,106.48,105.25,106.58
2024-M6,107.71,112.83,103.5,107.42,104.81,106.82,105.85,106.11
2024-M7,107.92,113.13,102.81,107.61,105.26,107.27,106.38,105.86
2024-M8,108.34,115.27,100.79,107.71,105.37,107.18,106.19,105.65
2024-M9,108.46,115.74,100.71,108.02,104.66,107.07,106.0,106.15
2024-M10,108.73,116.39,108.02,106.88,104.05,107.13,106.32,106.12
2024-M11,108.84,117.19,106.42,107.09,103.81,106.89,106.02,106.36
2024-M12,108.82,116.91,104.88,107.25,103.76,107.29,106.21,106.94
2025-M1,109.44,116.43,102.7,107.53,104.99,107.56,108.6,109.14
2025-M2,109.0,116.7,101.17,107.61,104.7,107.77,106.27,108.47
2025-M3,109.05,116.98,100.79,107.72,104.43,108.06,106.14,108.68
2025-M4,109.33,116.49,104.76,107.83,104.1,108.61,106.76,109.35
2025-M5,109.03,116.27,103.48,108.07,103.0,108.69,106.48,109.17
2025-M6,109.17,116.0,102.55,109.33,103.37,108.77,106.49,108.4
2025-M7,109.57,116.41,101.58,109.51,104.29,108.98,107.93,107.96
2025-M8,110.07,118.92,99.93,109.67,103.96,109.06,107.57,108.37
2025-M9,109.82,118.79,99.78,109.77,102.54,109.14,107.01,108.83
2025-M10,110.33,118.72,108.46,109.03,102.59,108.97,107.86,109.42
2025-M11,110.16,118.91,106.21,109.08,102.64,108.86,107.35,109.27
2025-M12,110.24,118.37,105.82,109.26,102.37,108.93,108.0,110.43
2026-M1,110.22,117.78,104.23,109.54,102.97,109.3,107.65,111.23
2026-M2,110.91,116.95,102.03,109.85,103.79,109.58,111.08,113.94
2026-M3,110.36,116.72,101.81,109.89,104.48,109.67,108.4,112.15
2026-M4,111.23,117.17,105.61,110.05,106.87,109.73,109.36,112.06
